,home_team,away_team,xG
0,Everton,Tottenham,0.790063
1,Everton,Stoke,2.31835
2,Everton,Middlesbrough,1.17467
3,Everton,Crystal Palace,1.1542
4,Everton,West Ham,2.0087
5,Everton,Swansea,1.54877
6,Everton,Manchester United,1.64985
7,Everton,Arsenal,1.46034
8,Everton,Liverpool,0.456788
9,Everton,Southampton,2.34997
10,Everton,Manchester City,0.572528
11,Everton,Bournemouth,2.75981
12,Everton,Sunderland,1.70366
13,Everton,West Bromwich Albion,2.17521
14,Everton,Hull,2.63141
15,Everton,Leicester,2.64597
16,Everton,Burnley,1.67352
17,Everton,Chelsea,0.684516
18,Everton,Watford,1.12984
