,home_team,away_team,xG_home,xG_away
0,Leicester,Sunderland,2.56803,1.45946
1,Leicester,Tottenham,0.829012,1.89437
2,Leicester,Aston Villa,1.34987,0.953181
3,Leicester,Arsenal,1.38516,3.89623
4,Leicester,Crystal Palace,1.33502,0.240008
5,Leicester,Watford,1.56389,1.00531
6,Leicester,Manchester United,0.876256,1.05613
7,Leicester,Chelsea,0.708846,2.26887
8,Leicester,Manchester City,0.810377,1.66777
9,Leicester,Bournemouth,2.28506,1.2593
10,Leicester,Stoke,2.25906,0.340483
11,Leicester,Liverpool,1.34566,0.580791
12,Leicester,Norwich,1.7645,0.814784
13,Leicester,West Bromwich Albion,3.04626,1.29485
14,Leicester,Newcastle United,0.846771,0.518715
15,Leicester,Southampton,1.38701,0.670068
16,Leicester,West Ham,1.95296,1.56819
17,Leicester,Swansea,3.31579,0.576457
18,Leicester,Everton,4.50525,1.30184
