,home_team,away_team,xG
0,Everton,Watford,0.604226
1,Everton,Manchester City,0.579338
2,Everton,Chelsea,1.18026
3,Everton,Liverpool,1.20063
4,Everton,Manchester United,0.653457
5,Everton,Sunderland,2.34852
6,Everton,Aston Villa,2.83068
7,Everton,Crystal Palace,1.69774
8,Everton,Leicester,1.48982
9,Everton,Stoke,2.2472
10,Everton,Tottenham,0.721603
11,Everton,Swansea,1.94094
12,Everton,Newcastle United,2.48447
13,Everton,West Bromwich Albion,1.82912
14,Everton,West Ham,2.09025
15,Everton,Arsenal,0.58617
16,Everton,Southampton,0.318721
17,Everton,Bournemouth,0.95281
18,Everton,Norwich,2.40775
