,home_team,away_team,xG_home,xG_away
0,West Bromwich Albion,Bournemouth,1.18399,0.378659
1,West Bromwich Albion,Stoke,0.875132,0.980905
2,West Bromwich Albion,West Ham,0.781891,0.266344
3,West Bromwich Albion,Watford,1.93896,1.62462
4,West Bromwich Albion,Manchester City,1.11852,2.77085
5,West Bromwich Albion,Chelsea,0.590655,1.71709
6,West Bromwich Albion,Newcastle United,0.845327,1.1342
7,West Bromwich Albion,Crystal Palace,1.65178,0.80924
8,West Bromwich Albion,Manchester United,1.076,0.898984
9,West Bromwich Albion,Everton,1.18168,0.405775
10,West Bromwich Albion,Arsenal,1.39429,0.917801
11,West Bromwich Albion,Brighton,1.38478,0.530765
12,West Bromwich Albion,Southampton,0.876603,0.99695
13,West Bromwich Albion,Huddersfield,1.50162,1.18101
14,West Bromwich Albion,Leicester,0.360925,1.86524
15,West Bromwich Albion,Burnley,0.394723,1.41534
16,West Bromwich Albion,Swansea,1.22912,0.655729
17,West Bromwich Albion,Liverpool,1.39669,1.6393
18,West Bromwich Albion,Tottenham,1.21792,0.969481
