,home_team,away_team,xG
0,Chelsea,Burnley,1.35651
1,Chelsea,Everton,1.16991
2,Chelsea,Arsenal,0.762129
3,Chelsea,Manchester City,0.911532
4,Chelsea,Watford,1.78315
5,Chelsea,Manchester United,1.8417
6,Chelsea,Swansea,2.30012
7,Chelsea,Newcastle United,3.07794
8,Chelsea,Southampton,1.29018
9,Chelsea,Brighton,2.16934
10,Chelsea,Stoke,3.09527
11,Chelsea,Leicester,0.622946
12,Chelsea,Bournemouth,1.14795
13,Chelsea,West Bromwich Albion,2.37995
14,Chelsea,Crystal Palace,3.87829
15,Chelsea,Tottenham,1.209
16,Chelsea,West Ham,2.12073
17,Chelsea,Liverpool,0.806168
18,Chelsea,Huddersfield,2.25256
