,home_team,away_team,xG
0,Watford,Liverpool,2.17647
1,Watford,Brighton,0.281459
2,Watford,Manchester City,0.803933
3,Watford,Arsenal,1.63418
4,Watford,Stoke,1.13448
5,Watford,West Ham,1.24547
6,Watford,Manchester United,1.29277
7,Watford,Tottenham,0.352672
8,Watford,Huddersfield,0.589103
9,Watford,Leicester,1.43009
10,Watford,Swansea,1.17794
11,Watford,Southampton,1.67369
12,Watford,Chelsea,2.12696
13,Watford,Everton,0.606929
14,Watford,West Bromwich Albion,1.23526
15,Watford,Bournemouth,0.76133
16,Watford,Burnley,1.36685
17,Watford,Crystal Palace,0.59455
18,Watford,Newcastle United,2.81246
