,home_team,away_team,xG
0,Watford,Brighton,0.670022
1,Watford,West Ham,2.29348
2,Watford,Arsenal,2.83209
3,Watford,Sheffield United,1.44318
4,Watford,Bournemouth,0.674903
5,Watford,Chelsea,1.4744
6,Watford,Burnley,0.902384
7,Watford,Crystal Palace,1.57132
8,Watford,Manchester United,1.59291
9,Watford,Aston Villa,3.25314
10,Watford,Wolverhampton Wanderers,1.07053
11,Watford,Tottenham,2.39174
12,Watford,Everton,0.919248
13,Watford,Liverpool,2.71351
14,Watford,Leicester,1.00765
15,Watford,Southampton,0.365347
16,Watford,Norwich,0.725199
17,Watford,Newcastle United,3.12855
